Data,car_num,RAC,SDS,PRP,MRP,FSS,DSR,DURS,VURS
20221201,2612,8,50,5,1,2,99.429,2,2
20221202,2612,2,79,5,1,5,99.185,1,2
20221203,2612,1,81,3,3,9,99.247,1,1
20221204,2612,4,87,5,0,14,99.033,3,1
20221205,2612,0,33,11,6,15,99.63,2,2
20221206,2612,2,19,9,2,17,99.648,1,2
20221207,2612,123,136,1,0,19,98.078,3,0
20221208,2612,1,4,0,0,20,99.956,1,0
20221209,2612,2,5,0,0,21,99.934,1,0
20221210,2612,1,11,8,0,23,99.83,1,1
20221211,2612,2,9,13,0,24,99.785,1,1
20221212,2612,6,7,0,0,25,99.883,2,0
20221213,2612,0,9,0,0,26,99.921,1,0
20221214,2612,1,7,2,0,26,99.9,1,0
20221201,3897,2,20,0,0,3,99.796,0,0
20221202,3897,0,25,11,1,4,99.683,0,2
20221203,3897,2,30,2,0,5,99.678,1,0
20221204,3897,0,28,0,0,7,99.704,1,0
20221205,3897,6,9,0,0,9,99.842,1,0
20221206,3897,2,3,1,1,9,99.938,0,1
20221207,3897,0,15,3,0,10,99.84,0,0
20221208,3897,0,20,7,2,11,99.754,0,2
20221209,3897,1,14,7,0,13,99.788,1,1
20221210,3897,0,11,0,0,13,99.9,1,0
20221211,3897,0,0,0,0,13,100,1,0
20221212,3897,1,11,2,0,14,99.844,1,0
20221213,3897,1,35,2,4,15,99.643,2,1
20221214,3897,0,13,4,0,16,99.847,1,1
20221201,4699,1,2,0,0,1,99.969,0,0
20221202,4699,3,5,0,1,2,99.915,1,1
20221203,4699,1,90,0,0,3,99.134,1,0
20221204,4699,2,107,0,0,5,98.992,1,0
20221205,4699,4,103,0,0,5,98.972,2,0
20221206,4699,3,3,0,0,6,99.95,1,0
20221207,4699,4,24,2,0,7,99.719,1,0
20221208,4699,2,17,0,0,7,99.825,0,0
20221209,4699,0,22,0,1,9,99.783,0,1
20221210,4699,1,26,1,0,9,99.761,1,0
20221211,4699,0,22,12,2,12,99.674,1,2
20221212,4699,5,6,0,0,12,99.901,2,0
20221213,4699,1,12,0,0,13,99.883,1,0
20221214,4699,2,12,0,0,14,99.856,1,0
20221201,4985,0,17,7,1,0,99.788,0,2
20221202,4985,0,16,4,0,1,99.809,0,1
20221203,4985,0,29,2,0,3,99.715,1,0
20221204,4985,2,8,0,0,3,99.906,0,0
20221205,4985,0,15,2,1,4,99.862,0,1
20221206,4985,1,20,2,1,4,99.784,0,1
20221207,4985,2,7,0,0,5,99.921,0,0
20221208,4985,0,6,0,1,5,99.94,0,1
20221209,4985,1,6,1,1,5,99.903,0,1
20221210,4985,1,38,1,0,7,99.646,1,0
20221211,4985,2,49,6,0,10,99.484,1,1
20221212,4985,1,25,3,0,10,99.752,0,0
20221213,4985,4,32,3,1,12,99.615,3,1
20221214,4985,4,0,0,0,14,99.964,2,0
20221201,5221,0,26,7,0,2,99.688,1,1
20221202,5221,2,1,0,0,2,99.973,0,0
20221203,5221,2,7,1,0,4,99.901,0,0
20221204,5221,0,27,12,0,5,99.66,1,1
20221205,5221,0,21,15,0,6,99.685,0,1
20221206,5221,1,4,0,0,7,99.915,0,0
20221207,5221,4,4,0,0,8,99.886,1,0
20221208,5221,2,5,0,0,8,99.935,0,0
20221209,5221,0,51,12,1,10,99.41,1,2
20221210,5221,0,41,12,1,12,99.532,2,2
20221211,5221,0,12,1,0,13,99.875,1,0
20221212,5221,0,6,0,1,13,99.941,1,1
20221213,5221,2,16,1,0,15,99.836,1,0
20221214,5221,0,15,6,2,17,99.805,1,2
20221201,5634,5,14,0,0,3,99.812,1,0
20221202,5634,4,16,1,0,4,99.807,1,0
20221203,5634,2,28,0,1,5,99.721,1,1
20221204,5634,2,30,0,0,5,99.73,1,0
20221205,5634,2,7,5,1,6,99.851,0,2
20221206,5634,15,54,2,2,10,99.433,2,1
20221207,5634,7,55,4,1,11,99.382,2,2
20221208,5634,7,34,5,1,12,99.591,3,2
20221209,5634,7,52,1,0,15,99.431,3,0
20221210,5634,0,21,1,0,17,99.816,1,0
20221211,5634,1,11,2,1,18,99.86,1,1
20221212,5634,2,15,0,0,18,99.838,1,0
20221213,5634,4,12,0,0,19,99.852,2,0
20221214,5634,2,22,1,0,24,99.738,1,0
20221201,8993,2,27,9,1,1,99.675,1,2
20221202,8993,1,52,8,1,2,99.493,1,2
20221203,8993,2,35,2,0,7,99.578,1,0
20221204,8993,3,11,0,0,8,99.877,1,0
20221205,8993,5,11,0,0,9,99.85,1,0
20221206,8993,2,99,1,3,15,98.985,2,1
20221207,8993,1,78,1,0,19,99.443,2,0
20221208,8993,4,40,0,0,24,99.496,3,0
20221209,8993,1,17,1,0,26,99.838,1,0
20221210,8993,1,30,0,1,28,99.686,2,1
20221211,8993,0,40,2,0,31,99.609,2,0
20221212,8993,0,42,6,1,32,99.542,2,2
20221213,8993,0,74,2,0,38,99.208,2,0
20221214,8993,3,28,2,0,41,99.643,3,0
20221201,9007,1,17,4,4,1,99.763,0,2
20221202,9007,1,32,4,0,5,99.603,1,1
20221203,9007,2,2,0,0,5,99.971,0,0
20221204,9007,1,0,0,0,5,99.991,0,0
20221205,9007,0,36,7,0,8,99.609,1,1
20221206,9007,5,23,6,1,10,99.715,1,2
20221207,9007,5,20,5,0,14,99.705,2,1
20221208,9007,0,24,14,1,17,99.7,1,2
20221209,9007,1,17,9,0,18,99.754,1,1
20221210,9007,5,10,0,0,19,99.869,2,0
20221211,9007,0,16,9,1,19,99.805,1,2
20221212,9007,0,33,6,3,23,99.605,2,2
20221213,9007,1,16,0,0,23,99.852,1,0
20221214,9007,3,14,0,0,26,99.841,2,0
20221201,9357,0,39,10,2,1,99.614,1,2
20221202,9357,0,15,6,2,2,99.792,0,2
20221203,9357,1,7,0,1,3,99.921,0,1
20221204,9357,0,4,0,0,3,99.962,0,0
20221205,9357,1,55,10,0,6,99.745,1,1
20221206,9357,2,38,0,0,9,99.641,1,0
20221207,9357,1,14,0,1,10,99.856,0,1
20221208,9357,1,8,1,0,12,99.899,1,0
20221209,9357,5,13,2,1,14,99.845,2,1
20221210,9357,4,37,0,2,17,99.586,3,1
20221211,9357,0,21,11,3,17,99.705,1,2
20221212,9357,0,13,5,2,19,99.81,1,2
20221213,9357,0,15,0,0,20,99.877,1,0
20221214,9357,2,7,1,0,20,99.907,1,0
20221201,9582,1,36,9,0,2,99.655,1,1
20221202,9582,0,33,15,0,3,99.573,1,1
20221203,9582,0,9,0,0,3,99.921,0,0
20221204,9582,1,3,1,0,4,99.953,0,0
20221205,9582,1,41,13,1,6,99.55,1,2
20221206,9582,1,22,11,2,8,99.705,0,2
20221207,9582,0,1,0,0,8,99.979,0,0
20221208,9582,0,2,0,0,8,99.924,0,0
20221209,9582,0,20,0,0,8,99.834,0,0
20221210,9582,0,1,0,0,8,99.968,0,0
20221211,9582,0,0,0,0,8,100,0,0
20221212,9582,0,0,0,1,8,99.991,0,1
20221213,9582,4,59,2,5,13,99.542,3,1
20221214,9582,1,50,9,2,15,99.446,2,2
